# epoch,dis_loss,gen_loss
1.000000000000000000e+00,-1.569643066406250000e+03,2.385651611328125000e+03
2.000000000000000000e+00,-1.782807006835937500e+03,2.368265380859375000e+03
3.000000000000000000e+00,-1.909563232421875000e+03,2.399293945312500000e+03
4.000000000000000000e+00,-2.056380126953125000e+03,2.472193847656250000e+03
5.000000000000000000e+00,-2.197204589843750000e+03,2.536372802734375000e+03
6.000000000000000000e+00,-2.276672607421875000e+03,2.566562255859375000e+03
7.000000000000000000e+00,-2.377294433593750000e+03,2.611635009765625000e+03
8.000000000000000000e+00,-2.420716796875000000e+03,2.626329345703125000e+03
9.000000000000000000e+00,-2.438376708984375000e+03,2.630776611328125000e+03
1.000000000000000000e+01,-2.482770019531250000e+03,2.652843994140625000e+03
1.100000000000000000e+01,-2.485722900390625000e+03,2.653447998046875000e+03
1.200000000000000000e+01,-2.524786376953125000e+03,2.666140625000000000e+03
1.300000000000000000e+01,-2.534668457031250000e+03,2.668917724609375000e+03
1.400000000000000000e+01,-2.509207031250000000e+03,2.656385009765625000e+03
1.500000000000000000e+01,-2.494188476562500000e+03,2.638158447265625000e+03
1.600000000000000000e+01,-2.560924804687500000e+03,2.677579589843750000e+03
1.700000000000000000e+01,-2.557145996093750000e+03,2.676064208984375000e+03
1.800000000000000000e+01,-2.554062011718750000e+03,2.672888427734375000e+03
1.900000000000000000e+01,-2.560211914062500000e+03,2.675069580078125000e+03
2.000000000000000000e+01,-2.567107910156250000e+03,2.678643066406250000e+03
2.100000000000000000e+01,-2.568681884765625000e+03,2.679437988281250000e+03
2.200000000000000000e+01,-2.579731445312500000e+03,2.684472656250000000e+03
2.300000000000000000e+01,-2.591077392578125000e+03,2.692564941406250000e+03
2.400000000000000000e+01,-2.597666748046875000e+03,2.693270019531250000e+03
2.500000000000000000e+01,-2.609253173828125000e+03,2.697416992187500000e+03
2.600000000000000000e+01,-2.598580322265625000e+03,2.693010253906250000e+03
2.700000000000000000e+01,-2.601126220703125000e+03,2.694193115234375000e+03
2.800000000000000000e+01,-2.599785156250000000e+03,2.694355957031250000e+03
2.900000000000000000e+01,-2.624571777343750000e+03,2.706005615234375000e+03
3.000000000000000000e+01,-2.602737060546875000e+03,2.696515869140625000e+03
3.100000000000000000e+01,-2.620030029296875000e+03,2.699834472656250000e+03
3.200000000000000000e+01,-2.635817871093750000e+03,2.708516845703125000e+03
3.300000000000000000e+01,-2.606495849609375000e+03,2.691915771484375000e+03
3.400000000000000000e+01,-2.630162353515625000e+03,2.706040771484375000e+03
3.500000000000000000e+01,-2.628304443359375000e+03,2.704563476562500000e+03
3.600000000000000000e+01,-2.601994140625000000e+03,2.693729492187500000e+03
3.700000000000000000e+01,-2.620384521484375000e+03,2.699080566406250000e+03
3.800000000000000000e+01,-2.644739746093750000e+03,2.716904785156250000e+03
3.900000000000000000e+01,-2.607636718750000000e+03,2.695497314453125000e+03
4.000000000000000000e+01,-2.641398925781250000e+03,2.713864990234375000e+03
4.100000000000000000e+01,-2.583734130859375000e+03,2.712600585937500000e+03
4.200000000000000000e+01,-2.631961669921875000e+03,2.712572509765625000e+03
4.300000000000000000e+01,-2.626738037109375000e+03,2.706197753906250000e+03
4.400000000000000000e+01,-2.628361083984375000e+03,2.700581054687500000e+03
4.500000000000000000e+01,-2.641771728515625000e+03,2.712441406250000000e+03
4.600000000000000000e+01,-2.630477050781250000e+03,2.708438964843750000e+03
4.700000000000000000e+01,-2.648965820312500000e+03,2.717840820312500000e+03
4.800000000000000000e+01,-2.661583984375000000e+03,2.721997558593750000e+03
4.900000000000000000e+01,-2.615289550781250000e+03,2.696433837890625000e+03
5.000000000000000000e+01,-2.631203369140625000e+03,2.703631835937500000e+03
5.100000000000000000e+01,-2.665587402343750000e+03,2.727759033203125000e+03
5.200000000000000000e+01,-2.639617919921875000e+03,2.711365478515625000e+03
5.300000000000000000e+01,-2.613170410156250000e+03,2.703737304687500000e+03
5.400000000000000000e+01,-2.644055175781250000e+03,2.715093017578125000e+03
5.500000000000000000e+01,-2.640594482421875000e+03,2.710181640625000000e+03
5.600000000000000000e+01,-2.646690429687500000e+03,2.711058105468750000e+03
5.700000000000000000e+01,-2.639336181640625000e+03,2.705912841796875000e+03
5.800000000000000000e+01,-2.664572753906250000e+03,2.726326904296875000e+03
5.900000000000000000e+01,-2.669348388671875000e+03,2.726490722656250000e+03
6.000000000000000000e+01,-2.633557373046875000e+03,2.711750976562500000e+03
6.100000000000000000e+01,-2.652265625000000000e+03,2.726468750000000000e+03
6.200000000000000000e+01,-2.640588134765625000e+03,2.712245605468750000e+03
6.300000000000000000e+01,-2.666833984375000000e+03,2.725883544921875000e+03
6.400000000000000000e+01,-2.642100097656250000e+03,2.715338134765625000e+03
6.500000000000000000e+01,-2.663769531250000000e+03,2.722944091796875000e+03
6.600000000000000000e+01,-2.667492431640625000e+03,2.727033691406250000e+03
6.700000000000000000e+01,-2.639645019531250000e+03,2.709438232421875000e+03
6.800000000000000000e+01,-2.682384765625000000e+03,2.733062988281250000e+03
6.900000000000000000e+01,-2.634076171875000000e+03,2.710946289062500000e+03
7.000000000000000000e+01,-2.649631347656250000e+03,2.712827880859375000e+03
7.100000000000000000e+01,-2.656160888671875000e+03,2.720532714843750000e+03
7.200000000000000000e+01,-2.645166259765625000e+03,2.712539062500000000e+03
